prompt,out_token_id,out_token_str,latent_token_id,latent_token_str,in_token_str
"Français: ""cinq"" - 中文: ""五""
Français: ""cœur"" - 中文: ""心""
Français: ""partie"" - 中文: ""部""
Français: ""trois"" - 中文: ""三""
Français: ""nuage"" - 中文: ""","[31784, 231]",云,"[274, 9274, 1067, 29883, 17184, 15126, 9570, 23642, 695]",cloud,nuage
"Français: ""vallée"" - 中文: ""谷""
Français: ""tribu"" - 中文: ""族""
Français: ""vertu"" - 中文: ""德""
Français: ""œil"" - 中文: ""目""
Français: ""sac"" - 中文: ""","[31473, 232]",包,"[23156, 289, 29890, 9922, 19548, 2291]",bag,sac
"Français: ""école"" - 中文: ""校""
Français: ""version"" - 中文: ""版""
Français: ""point"" - 中文: ""点""
Français: ""mille"" - 中文: ""千""
Français: ""bouche"" - 中文: ""","[30856, 232]",口,"[29442, 29885, 21026, 13394, 4346, 2730, 286]",mouth,bouche
"Français: ""champ"" - 中文: ""场""
Français: ""nord"" - 中文: ""北""
Français: ""fleur"" - 中文: ""花""
Français: ""tour"" - 中文: ""塔""
Français: ""sol"" - 中文: ""","[31181, 232]",土,"[577, 578, 29879, 269, 22473]",soil,sol
"Français: ""temps"" - 中文: ""时""
Français: ""porte"" - 中文: ""门""
Français: ""vallée"" - 中文: ""谷""
Français: ""rue"" - 中文: ""街""
Français: ""montagne"" - 中文: ""","[30329, 232]",山,"[14378, 5766, 29442, 29885, 4346, 2730, 286, 16476]",mountain,montagne
"Français: ""paire"" - 中文: ""双""
Français: ""gauche"" - 中文: ""左""
Français: ""été"" - 中文: ""夏""
Français: ""sept"" - 中文: ""七""
Français: ""cœur"" - 中文: ""","[30869, 232]",心,"[354, 23057, 8293, 540, 29882, 298, 5192]",heart,cœur
"Français: ""bande"" - 中文: ""条""
Français: ""un"" - 中文: ""一""
Français: ""jour"" - 中文: ""日""
Français: ""enfant"" - 中文: ""子""
Français: ""main"" - 中文: ""","[30880, 233]",手,"[1361, 5403, 447, 3179, 5905, 29882, 298, 2350]",hand,main
"Français: ""quatre"" - 中文: ""四""
Français: ""bois"" - 中文: ""木""
Français: ""rouge"" - 中文: ""红""
Français: ""gauche"" - 中文: ""左""
Français: ""jour"" - 中文: ""","[30325, 233]",日,"[29881, 1388, 3250, 1146, 270, 2462]",day,jour
"Français: ""source"" - 中文: ""源""
Français: ""neuf"" - 中文: ""九""
Français: ""main"" - 中文: ""手""
Français: ""ligne"" - 中文: ""线""
Français: ""étoile"" - 中文: ""","[30900, 233]",星,"[9523, 380, 8508, 303, 29879, 269, 5173, 5810]",star,étoile
"Français: ""loi"" - 中文: ""法""
Français: ""tribu"" - 中文: ""族""
Français: ""bouche"" - 中文: ""口""
Français: ""gauche"" - 中文: ""左""
Français: ""ressort"" - 中文: ""","[31031, 233]",春,"[4278, 7689, 15099, 6709, 29879, 1028, 269, 805]",spring,ressort
