prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"""_""用来阐释一个观点或概念。答案：""例""。
""_""是指向北的基本方向的相反方向。答案：""南""。
""_""用来阅读故事。答案: ""","[31900, 231]",书,"[1045, 833, 289, 3143, 2909, 29890]",book
"""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。
""_""在排球和网球等运动中用来划分比赛区域。答案：""网""。
""_""是大气中浮动的凝结水蒸气的可见质量。答案: ""","[31784, 231]",云,"[9570, 15126, 1067, 29883, 17184, 695, 23642, 274, 9274]",cloud
"""_""是我们听到的东西。答案：""音""。
""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""用来携带物品。答案: ""","[31473, 232]",包,"[23156, 289, 19548, 29890, 2291, 9922]",bag
"""_""是一首带有歌词的音乐作品。答案：""歌""。
""_""是在九百九十九之后的数值。答案：""千""。
""_""用来吃食物和说话。答案: ""","[30856, 232]",口,"[29885, 4346, 286, 21026, 2730, 29442, 13394]",mouth
"""_""是人们通常进行工作的地方。答案：""局""。
""_""是在六之后的数字。答案：""七""。
""_""用于种植树木和作物。答案: ""","[31181, 232]",土,"[269, 29879, 577, 22473, 578]",soil
"""_""是一种常用于放松或取暖的饮料。答案：""茶""。
""_""用来交流思想和观点。答案：""语""。
""_""是地球表面的大自然升高地。答案: ""","[30329, 232]",山,"[5766, 14378, 16476, 29885, 4346, 286, 2730, 29442]",mountain
"""_""是提供愉悦或满足感知体验的特征。答案：""美""。
""_""是股票、债券或其他证券被买卖的地方。答案：""交""。
""_""用来清洁表面或覆盖身体。答案: ""","[31454, 232]",布,"[15126, 1067, 29883, 17184, 13950, 695, 274]",cloth
"""_""是一种通常甜的并且来自植物的食物类型。答案：""果""。
""_""是太阳系中心的一颗恒星，为地球提供光和热。答案：""阳""。
""_""是一个泵血贯穿全身的器官。答案: ""","[30869, 232]",心,"[540, 354, 298, 23057, 8293, 5192, 29882]",heart
"""_""是某事物是、曾是或将要建立的位置。答案：""址""。
""_""是常用于珠宝的贵金属。答案：""金""。
""_""用来抓取或持有物体。答案: ""","[30880, 233]",手,"[447, 5403, 298, 3179, 2350, 1361, 29882, 5905]",hand
"""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""是天生的才能或技能。答案：""才""。
""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案: ""","[30325, 233]",日,"[1388, 1146, 270, 3250, 29881, 2462]",day
"""_""是常与爱情和激情相关联的颜色。答案：""红""。
""_""是常用于烹饪并在许多国家是主食的谷物。答案：""米""。
""_""是夜空中发光的天体。答案: ""","[30900, 233]",星,"[269, 380, 9523, 29879, 303, 5173, 5810, 8508]",star
"""_""用来在海滩上建造城堡。答案：""沙""。
""_""用来清洁表面或覆盖身体。答案：""布""。
""_""是一种储存机械能量并且可以被压缩或拉伸的装置。答案: ""","[31031, 233]",春,"[269, 15099, 29879, 7689, 805, 1028, 4278, 6709]",spring
"""_""是一个泵血贯穿全身的器官。答案：""心""。
""_""位于人类和动物头上。答案：""发""。
""_""是绕着行星运转的自然卫星。答案: ""","[30534, 233]",月,"[18786, 29885, 4346, 286, 2730]",moon
"""_""是你与之共享亲密个人关系的人。答案：""友""。
""_""用来阅读故事。答案：""书""。
""_""用来制作家具。答案: ""","[30710, 233]",木,"[281, 6115, 8879, 29893, 8112, 827]",wood
"""_""是在竞赛或战斗中输掉时的体验。答案：""败""。
""_""是某事物是、曾是或将要建立的位置。答案：""址""。
""_""是乡村地区一小群房屋的社区或群体。答案: ""","[30402, 233]",村,"[21031, 11928, 29894, 1403, 5720, 17191, 28765, 4213, 3516, 325]",village
"""_""是动物身体从脊柱基部延伸出的部分。答案：""尾""。
""_""是《星球大战》系列中的一个角色。答案：""汉""。
""_""是主要覆盖着树木和下层植被的大面积地区。答案: ""","[30853, 233]",林,"[1079, 26839, 363, 1181, 1454, 13569, 29888, 285, 1701]",forest
"""_""是在八之后的数字。答案：""九""。
""_""是天生的才能或技能。答案：""才""。
""_""是一种通常甜的并且来自植物的食物类型。答案: ""","[30801, 233]",果,"[1341, 1424, 15774, 29888, 285]",fruit
"""_""是一加一的和。答案：""二""。
""_""用来阐释一个观点或概念。答案：""例""。
""_""是一个线条相互交叉形成一系列方形或长方形的网络。答案: ""","[31168, 233]",格,"[6856, 29887, 629, 7720, 867, 330]",grid
