prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"""_""用来阐释一个观点或概念。答案：""例""。
""_""是指向北的基本方向的相反方向。答案：""南""。
""_""用来阅读故事。答案: ""","[31900, 231]",书,"[833, 2909, 3143, 289, 1045, 29890]",book
"""_""是一种艺术形式，涉及到身体的运动，通常是有节奏的并伴随音乐。答案：""舞""。
""_""在排球和网球等运动中用来划分比赛区域。答案：""网""。
""_""是大气中浮动的凝结水蒸气的可见质量。答案: ""","[31784, 231]",云,"[9274, 15126, 9570, 695, 23642, 274, 1067, 29883, 17184]",cloud
"""_""是我们听到的东西。答案：""音""。
""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""用来携带物品。答案: ""","[31473, 232]",包,"[9922, 23156, 19548, 289, 29890, 2291]",bag
"""_""是一首带有歌词的音乐作品。答案：""歌""。
""_""是在九百九十九之后的数值。答案：""千""。
""_""用来吃食物和说话。答案: ""","[30856, 232]",口,"[13394, 21026, 29885, 286, 2730, 4346, 29442]",mouth
"""_""是人们通常进行工作的地方。答案：""局""。
""_""是在六之后的数字。答案：""七""。
""_""用于种植树木和作物。答案: ""","[31181, 232]",土,"[269, 22473, 29879, 577, 578]",soil
"""_""是一种常用于放松或取暖的饮料。答案：""茶""。
""_""用来交流思想和观点。答案：""语""。
""_""是地球表面的大自然升高地。答案: ""","[30329, 232]",山,"[29442, 16476, 29885, 286, 2730, 5766, 14378, 4346]",mountain
"""_""是提供愉悦或满足感知体验的特征。答案：""美""。
""_""是股票、债券或其他证券被买卖的地方。答案：""交""。
""_""用来清洁表面或覆盖身体。答案: ""","[31454, 232]",布,"[13950, 15126, 695, 274, 1067, 17184, 29883]",cloth
"""_""是一种通常甜的并且来自植物的食物类型。答案：""果""。
""_""是太阳系中心的一颗恒星，为地球提供光和热。答案：""阳""。
""_""是一个泵血贯穿全身的器官。答案: ""","[30869, 232]",心,"[8293, 298, 29882, 23057, 540, 354, 5192]",heart
"""_""是某事物是、曾是或将要建立的位置。答案：""址""。
""_""是常用于珠宝的贵金属。答案：""金""。
""_""用来抓取或持有物体。答案: ""","[30880, 233]",手,"[1361, 298, 29882, 3179, 5403, 447, 5905, 2350]",hand
"""_""是主要覆盖着树木和下层植被的大面积地区。答案：""林""。
""_""是天生的才能或技能。答案：""才""。
""_""是24小时的时期，通常理解为地球完成一次自转所需的时间。答案: ""","[30325, 233]",日,"[270, 29881, 2462, 1146, 3250, 1388]",day
