prompt,out_token_id,out_token_str,latent_token_id,latent_token_str
"Ein ""___"" ist eine große natürliche Erhebung auf der Erdoberfläche. Antwort: ""Berg"".
""Der ""___"" ist eine dem Norden entgegengesetzte Himmelsrichtung. Antwort: ""Süden"".
Ein ""___"" wird unternommen, wenn man versucht, etwas zu erreichen. Antwort: ""","[29963, 8980, 1798, 478, 6565, 10138]",Versuch,"[31787, 235]",试
"Eine ""___"" wird verwendet, um Informationen oder Daten bereitzustellen. Antwort: ""Quelle"".
Ein ""___"" ist ein System von Regeln, das eine Gesellschaft oder eine Regierung entwickelt, um mit Verbrechen, Geschäftsvereinbarungen und sozialen Beziehungen umzugehen. Antwort: ""Gesetz"".
Eine ""___"" wird zum Tragen von Gegenständen verwendet. Antwort: ""","[29911, 323, 23793, 10523]",Tasche,"[31473, 232]",包
"Ein ""___"" ist ein Getreide, das in der Küche häufig verwendet wird und in vielen Ländern ein Grundnahrungsmittel ist. Antwort: ""Reis"".
Ein ""___"" wird zum Gehen und Laufen verwendet. Antwort: ""Fuß"".
Ein ""___"" wird für Sportarten wie Fußball und Basketball verwendet. Antwort: ""","[13402, 350, 22031, 6000, 29933, 7392]",Ball,"[31539, 234]",球
"Eine ""___"" ist eine Frau, die ein Kind zur Welt gebracht hat. Antwort: ""Mutter"".
A ""___"" ist eine Farbe, die oft mit Liebe und Leidenschaft assoziiert wird. Antwort: ""rot"".
""___"" ist eine Eigenschaft, die ein Wahrnehmungserlebnis von Freude oder Befriedigung vermittelt. Antwort: ""","[29903, 4504, 2522, 4421, 317, 1102, 28565]",Schönheit,"[30630, 234]",美
"""Eine ""___"" wird benutzt, um Menschen oder Dinge zu kontrollieren oder zu beeinflussen. Antwort: ""Macht"".
Ein ""___"" ist ein Teil des Körpers, der das Gehirn, die Augen, die Ohren, die Nase und den Mund enthält. Antwort: ""Kopf"".
Ein ""___"" ist etwas, das das Wohlbefinden fördert oder steigert. Antwort: ""","[405, 29940, 12487]",Nutzen,"[31107, 232]",利
"""Ein ""___"" ist der Platz, auf dem wir gehen und Häuser bauen. Antwort: ""Boden"".
Eine ""___"" wird oft verschenkt und ist in Gärten zu finden. Antwort: ""Blume"".
Ein ""___"" wird verwendet, um Geschichten zu lesen. Antwort: ""","[10586, 350, 5373, 29933, 3727, 22987]",Buch,"[31900, 231]",书
"""Eine ""___"" wird benutzt, um Menschen oder Dinge zu kontrollieren oder zu beeinflussen. Antwort: ""Macht"".
Ein ""___"" ist ein Teil des Körpers, der das Gehirn, die Augen, die Ohren, die Nase und den Mund enthält. Antwort: ""Kopf"".
Eine ""___"" wird verwendet, um zwei Gebiete zu verbinden, die durch Hindernisse wie Flüsse oder Straßen getrennt sind. Antwort: ""","[12432, 1771, 350, 29933]",Brücke,"[31749, 233]",桥
"Ein ""___"" ist eine Sache, die nicht spezifiziert oder nicht identifiziert ist. Antwort: ""Gegenstand"".
Eine ""___"" ist eine sichtbare Masse aus kondensiertem Wasserdampf, die in der Atmosphäre schwebt. Antwort: ""Wolke"".
Eine ""___"" ist ein natürlicher unterirdischer Raum, der groß genug ist, um von einem Menschen betreten zu werden. Antwort: ""","[379, 11623, 29950]",Höhle,"[31886, 233]",洞
"Die Zahl, die auf die Vier folgt, ist die ""___"". Antwort: ""fünf"".
""Die ""___"" ist der Punkt, der von den Seiten oder äußeren Begrenzungen einer Sache gleich weit entfernt ist. Antwort: ""Mitte"".
Ein ""___"" ist ein junges menschliches Wesen unter dem Alter der Pubertät. Antwort: ""","[11885, 29968, 13187, 20311, 476, 16540]",Kind,"[30319, 232]",子
"Ein ""___"" ist ein Himmelskörper, der am Nachthimmel leuchtet. Antwort: ""Stern"".
Ein ""___"" wird verwendet, um einen Punkt oder ein Konzept zu illustrieren. Antwort: ""Beispiel"".
Eine ""___"" ist eine große menschliche Siedlung, in der Menschen leben und arbeiten. Antwort: ""","[5587, 29903, 855, 624, 7434, 317, 10347]",Stadt,"[30626, 232]",城
